player_id,first_name,last_name,birth_date,total_minutes
29640,Mario,Lemina,1993-09-01,1722.0
247219,V\u00edctor,Camarasa Ferrando,1994-05-28,1252.0
208716,Alessandro,Sch\u00f6pf,1994-02-07,813.0
228981,Benjamin,Bourigeaud,1994-01-14,3106.0
25470,Sanjin,Prci\u0107,1993-11-20,1569.0
7868,Alex,Oxlade-Chamberlain,1993-08-15,1728.0
69404,Mateo,Kova\u010di\u0107,1994-05-06,996.0
43051,Gabriel,Appelt Pires,1993-09-18,2393.0
20446,Valerio,Verre,1994-01-11,352.0
15487,Janik,Haberer,1994-04-02,2761.0
165425,Dominik,Kohr,1994-01-31,1716.0
14862,Julian,Draxler,1993-09-20,1706.0
207143,F\u00e1bio Henrique,Tavares,1993-10-23,3060.0
62224,Ryan,Fraser,1994-02-24,2008.0
247207,Joan,Jord\u00e1n Moreno,1994-07-06,2403.0
247222,\u00c1lvaro,Medr\u00e1n Just,1994-03-15,1014.0
241676,Roberto,Gagliardini,1994-04-07,1986.0
20815,Andrea,Barberis,1993-12-11,3027.0
99902,Piotr,Zieli\u0144ski,1994-05-20,1665.0
20414,Mattia,Valoti,1993-09-06,1574.0
15225,Sebastian,Maier,1993-09-18,259.0
25504,Soualiho,Me\u00eft\u00e9,1994-03-17,1431.0
209028,Adrien,Thomasson,1993-12-10,2589.0
247248,Solly,March,1994-07-20,1844.0
210044,Eric ,Dier,1994-01-15,2827.0
18550,Emre,Can,1994-01-12,2094.0
3803,Sergi,Darder Moll,1993-12-22,3057.0
116170,Sebasti\u00e1n Carlos,Crist\u00f3foro Pepe,1993-08-23,266.0
37739,Dennis,Praet,1994-05-14,2665.0
14938,Maximilian,Arnold,1994-05-27,2533.0
217874,Abdoulaye,Tour\u00e9,1994-03-03,2809.0
134797,Hernani,Azevedo J\u00fanior,1994-03-27,550.0
